iter	Passed	Remaining
432	1989	2605
433	1992	2597
434	1994	2590
435	1997	2583
436	2000	2576
437	2005	2572
438	2008	2566
439	2010	2559
440	2013	2552
441	2016	2545
442	2018	2538
443	2022	2532
444	2025	2526
445	2028	2519
446	2030	2512
447	2033	2505
448	2036	2499
449	2039	2493
450	2042	2486
451	2045	2479
452	2047	2472
453	2050	2465
454	2054	2460
455	2056	2453
456	2059	2447
457	2062	2440
458	2065	2434
459	2068	2427
460	2071	2422
461	2074	2415
462	2076	2408
463	2079	2402
464	2082	2395
465	2085	2390
466	2088	2383
467	2091	2377
468	2094	2370
469	2096	2364
470	2099	2357
471	2103	2352
472	2105	2346
473	2108	2339
474	2111	2333
475	2113	2326
476	2116	2320
477	2120	2315
478	2122	2309
479	2125	2302
480	2129	2297
481	2132	2291
482	2137	2288
483	2142	2283
484	2145	2278
485	2148	2272
486	2154	2269
487	2157	2263
488	2160	2258
489	2164	2252
490	2169	2249
491	2172	2243
492	2176	2237
493	2179	2232
494	2183	2227
495	2188	2223
496	2191	2218
497	2194	2212
498	2197	2206
499	2204	2204
500	2207	2198
501	2210	2193
502	2213	2187
503	2218	2182
504	2221	2177
505	2223	2171
506	2226	2165
507	2229	2159
508	2234	2155
509	2237	2149
510	2240	2143
511	2242	2137
512	2250	2136
513	2254	2131
514	2257	2125
515	2260	2119
516	2265	2116
517	2269	2111
518	2272	2106
519	2276	2101
520	2280	2097
521	2284	2092
522	2287	2086
523	2291	2081
524	2294	2076
525	2300	2072
526	2303	2067
527	2306	2061
528	2309	2056
529	2314	2052
530	2317	2046
531	2319	2040
532	2322	2034
533	2325	2029
534	2328	2023
535	2332	2019
536	2335	2013
537	2338	2008
538	2341	2002
539	2344	1996
540	2349	1993
541	2352	1988
542	2355	1982
543	2358	1976
544	2362	1971
545	2366	1968
546	2369	1962
547	2372	1956
548	2375	1951
549	2381	1948
550	2384	1943
551	2387	1937
552	2390	1932
553	2393	1926
554	2398	1923
555	2402	1918
556	2405	1913
557	2408	1907
558	2416	1906
559	2421	1902
560	2430	1901
561	2434	1897
562	2437	1891
563	2440	1886
564	2448	1884
565	2451	1879
566	2454	1874
567	2457	1868
568	2464	1866
569	2467	1861
570	2470	1855
571	2473	1850
572	2479	1847
573	2482	1842
574	2485	1837
575	2489	1832
576	2495	1829
577	2497	1823
578	2500	1818
579	2503	1813
580	2509	1810
581	2513	1804
582	2516	1799
583	2518	1794
584	2522	1789
585	2530	1787
586	2532	1782
587	2536	1776
588	2538	1771
589	2545	1768
590	2548	1763
591	2551	1758
592	2554	1753
593	2560	1749
594	2563	1744
595	2566	1739
596	2570	1735
597	2576	1732
598	2579	1727
599	2583	1722
600	2587	1717
601	2591	1713
602	2595	1708
603	2598	1703
604	2602	1699
605	2606	1694
606	2610	1690
607	2613	1685
608	2616	1680
609	2621	1676
610	2624	1670
611	2627	1665
612	2630	1660
613	2633	1655
614	2638	1651
615	2641	1646
616	2643	1641
617	2646	1636
618	2649	1630
619	2654	1626
620	2656	1621
621	2659	1616
622	2662	1611
623	2665	1605
624	2669	1601
625	2672	1596
626	2675	1591
627	2677	1586
628	2680	1581
629	2683	1575
630	2687	1571
631	2690	1566
632	2692	1561
633	2695	1556
634	2698	1551
635	2702	1546
636	2705	1541
637	2708	1536
638	2711	1531
639	2713	1526
640	2717	1522
641	2720	1517
642	2723	1512
643	2726	1507
644	2728	1501
645	2731	1496
646	2735	1492
647	2738	1487
648	2741	1482
649	2744	1477
650	2747	1472
651	2751	1468
652	2754	1463
653	2757	1458
654	2759	1453
655	2763	1448
656	2767	1444
657	2770	1439
658	2773	1434
659	2776	1430
660	2779	1425
661	2783	1420
662	2786	1416
663	2789	1411
664	2792	1406
665	2795	1401
666	2799	1397
667	2802	1392
668	2805	1387
669	2807	1382
670	2810	1378
671	2815	1373
672	2818	1369
673	2820	1364
674	2825	1360
675	2828	1355
676	2832	1351
677	2835	1346
678	2838	1342
679	2841	1337
680	2845	1332
681	2849	1328
682	2852	1324
683	2855	1319
684	2858	1314
685	2861	1309
686	2865	1305
687	2868	1300
688	2871	1296
689	2874	1291
690	2877	1286
691	2882	1283
692	2888	1279
693	2891	1274
694	2894	1270
695	2900	1266
696	2904	1262
697	2908	1258
698	2914	1254
699	2918	1250
700	2920	1245
701	2923	1241
702	2926	1236
703	2931	1232
704	2934	1227
705	2937	1223
706	2940	1218
707	2942	1213
708	2948	1209
709	2951	1205
710	2954	1200
711	2956	1196
712	2961	1192
713	2964	1187
714	2967	1182
715	2970	1178
716	2973	1173
717	2979	1170
718	2982	1165
719	2985	1160
720	2988	1156
721	2994	1153
722	2998	1148
723	3001	1144
724	3003	1139
725	3007	1134
726	3011	1130
727	3014	1126
728	3017	1121
729	3021	1117
730	3026	1113
731	3029	1109
732	3032	1104
733	3035	1100
734	3038	1095
735	3043	1091
736	3046	1087
737	3049	1082
738	3052	1078
739	3057	1074
740	3061	1070
741	3064	1065
742	3067	1061
743	3070	1056
744	3076	1052
745	3079	1048
746	3081	1043
747	3084	1039
748	3087	1034
749	3092	1030
750	3095	1026
751	3098	1021
752	3100	1017
753	3103	1012
754	3108	1008
755	3111	1004
756	3114	999
757	3116	995
758	3119	990
759	3122	986
760	3127	982
761	3130	977
762	3133	973
763	3136	968
764	3141	965
765	3144	960
766	3146	955
767	3149	951
768	3152	946
769	3156	942
770	3159	938
771	3161	933
772	3165	929
773	3168	925
774	3172	920
775	3175	916
776	3177	911
777	3180	907
778	3182	903
779	3185	898
780	3190	894
781	3192	890
782	3195	885
783	3198	881
784	3201	876
785	3207	873
786	3211	869
787	3213	864
788	3216	860
789	3220	856
790	3223	851
791	3226	847
792	3228	842
793	3231	838
794	3233	833
795	3239	830
796	3243	826
797	3246	821
798	3249	817
799	3255	813
800	3257	809
801	3260	804
802	3263	800
803	3266	796
804	3270	792
805	3273	787
806	3275	783
807	3278	779
808	3281	774
809	3284	770
810	3287	766
811	3290	761
812	3293	757
813	3295	753
814	3298	748
815	3301	744
816	3304	740
817	3307	735
818	3309	731
819	3312	727
820	3315	722
821	3318	718
822	3321	714
823	3324	710
824	3326	705
825	3329	701
826	3332	697
827	3336	692
828	3338	688
829	3341	684
830	3343	680
831	3346	675
832	3349	671
833	3352	667
834	3355	663
835	3358	658
836	3361	654
837	3363	650
838	3367	646
839	3370	641
840	3373	637
841	3376	633
842	3378	629
843	3383	625
844	3385	621
845	3388	616
846	3391	612
847	3393	608
848	3396	604
849	3401	600
850	3404	596
851	3406	591
852	3409	587
853	3412	583
854	3416	579
855	3419	575
856	3422	571
857	3424	566
858	3427	562
859	3431	558
860	3434	554
861	3436	550
862	3439	546
863	3442	541
